NCA1,NCA2,Macro_Desastre
-128253.59950405508,13046.842531782673,Seca e Estiagem
-79943.4017148463,4567.655838231667,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Tempestades Severas
-128253.59950405508,13046.842531782673,Incêndios Florestais
-124359.2166611946,12547.760692895205,Tempestades Severas
-128253.59950405508,13046.842531782673,Seca e Estiagem
-124525.16172204309,12785.6626270685,Inundações e Chuvas
-131228.50362709927,12182.4096453032,Seca e Estiagem
2005234.9719999477,277169.1942452689,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Seca e Estiagem
-208424.11212034163,-22240.024458843644,Seca e Estiagem
-437437.93621323473,-140057.02793891542,Seca e Estiagem
-443578.124952302,-91878.08730007184,Seca e Estiagem
-100091.51634171793,5960.068774919523,Inundações e Chuvas
-145004.08431753764,8308.349054626971,Seca e Estiagem
-128253.59950405508,13046.842531782673,Incêndios Florestais
-63070.42199188972,-2060.5546336334464,Inundações e Chuvas
-105310.03025735515,2231.1601181562537,Inundações e Chuvas
-131328.10427129694,12000.610607224235,Seca e Estiagem
64957.10848148063,-14111.361074390536,Inundações e Chuvas
-332574.8355228614,-86813.86933454222,Seca e Estiagem
-111498.50664896485,17156.930325307996,Tempestades Severas
-128253.59950405508,13046.842531782673,Seca e Estiagem
-146435.91400629588,9793.082024462645,Seca e Estiagem
-128253.59950405508,13046.842531782673,Incêndios Florestais
1534349.106387415,-86729.3117856293,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Incêndios Florestais
-152391.6562986128,7404.474116906916,Seca e Estiagem
-128253.59950405508,13046.842531782673,Seca e Estiagem
136379.51469344343,72781.73959309612,Inundações e Chuvas
4002131.5940069547,-316981.91589671856,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Tempestades Severas
-170055.54761000542,-8545.604264644862,Seca e Estiagem
-131954.40426223748,12594.046311470329,Seca e Estiagem
-1877807.1726730198,-711171.8817868078,Seca e Estiagem
-128253.59950405508,13046.842531782673,Deslizamentos
-24735.221187061816,-12015.845811922316,Inundações e Chuvas
-142474.56980576544,8334.636446881674,Seca e Estiagem
-176726.20320976438,-2776.9016116225584,Seca e Estiagem
-276665.45899740444,-60021.520143885224,Seca e Estiagem
-53041.555108767214,43952.61990859491,Inundações e Chuvas
17197.485862393452,-223329.5274408992,Inundações e Chuvas
-164658.96724421575,129860.82263697415,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Tempestades Severas
-128253.59950405508,13046.842531782673,Incêndios Florestais
-169890.2053127509,7952.572780013411,Seca e Estiagem
-177929.2604438047,-5568.410860200967,Seca e Estiagem
-128253.59950405508,13046.842531782673,Incêndios Florestais
-128253.59950405508,13046.842531782673,Tempestades Severas
-128253.59950405508,13046.842531782673,Seca e Estiagem
-267856.6400190086,-25194.18713438017,Seca e Estiagem
-128253.59950405508,13046.842531782673,Seca e Estiagem
-128253.59950405508,13046.842531782673,Deslizamentos
2097399.8735000864,-311509.3935710341,Inundações e Chuvas
-108461.50292977285,7200.654761942064,Inundações e Chuvas
-1064976.4058809674,-432507.2967323799,Seca e Estiagem
1855180.3496482833,-24377.44366691914,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Seca e Estiagem
-128587.0155604314,12974.363317280413,Seca e Estiagem
-146048.00649803263,-211764.51314237484,Inundações e Chuvas
-270426.4572458612,-19562.74195340236,Seca e Estiagem
-116085.30541723514,17502.693876623394,Incêndios Florestais
-128253.59950405508,13046.842531782673,Deslizamentos
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Incêndios Florestais
-177928.6000601506,-2848.177749878918,Seca e Estiagem
-111919.00477321194,10299.029381397559,Tempestades Severas
-91814.92862872542,31196.22997014095,Inundações e Chuvas
-79610.79934218312,7926.484069081763,Tempestades Severas
-138598.97764827523,8942.270156273264,Seca e Estiagem
-174793.31975440096,-6916.9773583847555,Seca e Estiagem
-71292.19556897662,2921.589401178391,Inundações e Chuvas
-133553.37234583125,13335.951938559085,Seca e Estiagem
-175826.885205964,-918.737826130959,Seca e Estiagem
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-143886.0830317879,8158.132855538307,Seca e Estiagem
-109707.3167320254,11732.289674965135,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Incêndios Florestais
-114397.40906232646,9676.276976948822,Inundações e Chuvas
-130805.87864762914,12734.56927639485,Incêndios Florestais
-140019.55867285666,11450.762568874788,Seca e Estiagem
-137784.846128888,10328.492618921997,Seca e Estiagem
-122701.152056977,11429.247876390438,Inundações e Chuvas
-249930.95073104597,-29464.976001096587,Seca e Estiagem
768215.7945408362,267360.80750152946,Tempestades Severas
153730.56834242376,169946.10435066553,Tempestades Severas
-136068.13825976636,11939.977849073573,Seca e Estiagem
143130.48169289142,211340.2449386106,Tempestades Severas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-131035.40026787831,16548.871331580012,Tempestades Severas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-125191.84832809897,32586.68017794784,Tempestades Severas
-145158.49720572386,8289.456522676008,Seca e Estiagem
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Incêndios Florestais
4059682.044217468,2330398.6126241637,Tempestades Severas
-128253.59950405508,13046.842531782673,Seca e Estiagem
-130319.05451983612,30441.891244975362,Seca e Estiagem
-52109.711022010684,18646.782595782697,Inundações e Chuvas
433808.2688580457,-181954.3389967959,Inundações e Chuvas
-89453.57759127114,24855.996934507577,Inundações e Chuvas
4258440.35184811,-250794.269560051,Inundações e Chuvas
-128251.2641058903,13039.748015791378,Tempestades Severas
-247564.4410934368,-26795.530754483443,Seca e Estiagem
-128112.53752242931,14027.059278570085,Inundações e Chuvas
-128955.47626853795,12960.967386551021,Seca e Estiagem
-92106.93445278252,4175.912233035173,Inundações e Chuvas
-159450.48754534175,-2286.540321227031,Seca e Estiagem
-251704.8211590959,-43311.00009999386,Seca e Estiagem
-52728.78690921272,45107.51301684976,Inundações e Chuvas
-207431.44464252924,-15996.366958293758,Seca e Estiagem
1296076.9675070192,186950.4140502738,Inundações e Chuvas
-118607.40318485048,373712.33935384674,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
1020358.2057447613,78458.89516265005,Inundações e Chuvas
-250736.62214840233,-14128.164546868451,Seca e Estiagem
-244550.21716009936,697912.3063046914,Tempestades Severas
-128253.59950405508,13046.842531782673,Incêndios Florestais
-123179.33837969201,12542.463050208176,Tempestades Severas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Incêndios Florestais
-134650.21735178292,8329.455108306882,Seca e Estiagem
-127309.03378020425,15066.895600410464,Inundações e Chuvas
-151374.850622797,10088.731743014772,Seca e Estiagem
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-135478.4748799616,12009.213120596314,Seca e Estiagem
4775161.940281406,-148934.238811726,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Deslizamentos
-128253.59950405508,13046.842531782673,Seca e Estiagem
-128253.59950405508,13046.842531782673,Inundações e Chuvas
