T-SNE1,T-SNE2,Macro_Desastre
28.291552,-8.634429,Inundações e Chuvas
-28.713528,25.686941,Seca e Estiagem
17.960455,-27.246782,Inundações e Chuvas
-13.373549,8.446033,Seca e Estiagem
42.361084,27.935242,Inundações e Chuvas
18.001791,-27.217999,Deslizamentos
17.454575,-26.701717,Seca e Estiagem
17.170708,-27.44258,Inundações e Chuvas
17.822815,-27.714495,Inundações e Chuvas
17.826763,-27.79263,Inundações e Chuvas
17.335098,7.727776,Inundações e Chuvas
-21.544765,16.885136,Seca e Estiagem
17.702253,-29.07331,Seca e Estiagem
-9.99515,-17.755386,Seca e Estiagem
-66.18807,-27.356153,Seca e Estiagem
42.53018,19.367807,Tempestades Severas
-56.53069,4.8663735,Seca e Estiagem
43.706467,3.8977015,Inundações e Chuvas
17.150724,-27.787916,Inundações e Chuvas
17.210863,-28.151878,Incêndios Florestais
23.673428,30.99388,Inundações e Chuvas
-28.381533,41.1715,Seca e Estiagem
-5.1895485,-20.00939,Tempestades Severas
-41.37488,-9.0165615,Seca e Estiagem
9.146217,10.119934,Inundações e Chuvas
44.42502,3.2919793,Inundações e Chuvas
43.33829,20.146729,Tempestades Severas
-66.849625,-26.14205,Seca e Estiagem
-8.180212,-15.676883,Seca e Estiagem
35.65335,0.4494186,Inundações e Chuvas
-15.013164,12.73595,Seca e Estiagem
-29.36799,-8.559198,Seca e Estiagem
-23.366669,14.226143,Seca e Estiagem
-57.672802,-12.53483,Seca e Estiagem
-30.425558,-3.930162,Seca e Estiagem
37.276264,-6.1021905,Inundações e Chuvas
-35.886814,-3.5966308,Seca e Estiagem
0.8322207,34.70412,Inundações e Chuvas
-16.423988,22.067064,Tempestades Severas
17.784784,-28.04787,Incêndios Florestais
13.14806,-11.874216,Inundações e Chuvas
9.390119,0.45776454,Inundações e Chuvas
47.10532,10.299304,Inundações e Chuvas
11.256664,20.55467,Inundações e Chuvas
-67.010315,-29.288986,Seca e Estiagem
49.003223,6.786452,Inundações e Chuvas
4.832808,15.650614,Inundações e Chuvas
25.829456,13.955741,Inundações e Chuvas
28.236483,1.1637373,Inundações e Chuvas
-26.98823,4.713096,Seca e Estiagem
-24.015203,39.213696,Seca e Estiagem
-55.34173,3.8254285,Seca e Estiagem
17.364609,-28.569576,Incêndios Florestais
-16.837812,6.983205,Seca e Estiagem
17.725584,-28.512505,Tempestades Severas
-32.66748,12.367537,Seca e Estiagem
1.4824204,-22.329048,Inundações e Chuvas
-25.506132,4.2775197,Seca e Estiagem
7.390778,-27.41498,Inundações e Chuvas
11.209876,42.64094,Seca e Estiagem
17.75241,-28.29884,Incêndios Florestais
19.304062,34.630928,Inundações e Chuvas
17.691732,-28.873999,Inundações e Chuvas
17.750868,-29.231733,Inundações e Chuvas
36.103535,2.18099,Inundações e Chuvas
-36.348732,-3.1021385,Seca e Estiagem
-21.292936,-5.6000915,Seca e Estiagem
15.398377,13.186158,Inundações e Chuvas
29.498245,-4.2562323,Inundações e Chuvas
26.965107,14.493315,Inundações e Chuvas
3.510515,-22.372156,Deslizamentos
-43.34003,6.0296826,Seca e Estiagem
18.01442,-29.831995,Seca e Estiagem
22.483747,-25.226738,Inundações e Chuvas
17.88946,-29.578201,Inundações e Chuvas
-27.195404,-3.5274816,Seca e Estiagem
-52.525787,2.683204,Seca e Estiagem
