LLE1,LLE2,Macro_Desastre
0.012314929990687408,-0.011816169665315079,Seca e Estiagem
0.012315284636470341,-0.011828692136123461,Seca e Estiagem
0.0122358875632821,-0.011833120619346731,Inundações e Chuvas
0.01231488850266365,-0.011816188562276009,Seca e Estiagem
0.012314829940866549,-0.01181601945802935,Incêndios Florestais
0.012246149065640742,-0.01182731072716518,Inundações e Chuvas
0.010973552585424397,-0.011918973332883344,Inundações e Chuvas
0.01231505168094269,-0.011816002121673141,Seca e Estiagem
0.012058322576518142,-0.012844628655822522,Inundações e Chuvas
0.012314959044497222,-0.011816176539091925,Seca e Estiagem
0.012314826171153587,-0.011816023498526049,Tempestades Severas
0.012314829940866558,-0.011816019458029327,Seca e Estiagem
0.012314982283575495,-0.011816157078455302,Seca e Estiagem
0.01231482994086656,-0.011816019458029322,Incêndios Florestais
0.011522167471141412,-0.011507009589774823,Inundações e Chuvas
0.012314829940866542,-0.011816019458029367,Incêndios Florestais
0.012314906552953008,-0.011816174871104533,Seca e Estiagem
0.012314829940866542,-0.011816019458029367,Seca e Estiagem
0.011715860400199287,-0.013961618235176741,Inundações e Chuvas
0.014348153436601637,-0.04168920936941172,Inundações e Chuvas
0.012314829940866542,-0.011816019458029367,Tempestades Severas
0.012316966064469123,-0.011815749887363981,Seca e Estiagem
0.01231512666277156,-0.011816061350878272,Seca e Estiagem
0.012315184216500016,-0.011816327458673977,Seca e Estiagem
0.012314829940866558,-0.011816019458029327,Deslizamentos
0.01209748644032737,-0.011845586897058146,Inundações e Chuvas
0.012315008206067412,-0.01181606110175372,Seca e Estiagem
0.01231508162803116,-0.011816207543808981,Seca e Estiagem
0.012314937094094678,-0.011816145225481042,Seca e Estiagem
0.012216283935372496,-0.011827302696442523,Inundações e Chuvas
0.012828721604997649,-0.01407966730244909,Inundações e Chuvas
0.011730588258925962,-0.011130176394006106,Inundações e Chuvas
0.012314829940866542,-0.011816019458029367,Inundações e Chuvas
0.012314829940866549,-0.011816019458029353,Tempestades Severas
