LDA1,LDA2,Macro_Desastre
-0.14756993357953513,0.07856967107604125,Tempestades Severas
-0.2477491523750326,-0.01063683021629702,Seca e Estiagem
-0.013561167961467243,-0.09486432229756663,Inundações e Chuvas
-0.11835715381140548,0.20163235966808804,Inundações e Chuvas
0.006396690083571653,0.13348310609429873,Tempestades Severas
-1.5328361101352426,-1.0393473038355407,Seca e Estiagem
-0.14844092862116093,0.07725123451383831,Seca e Estiagem
-0.11909576891951702,-0.009632620526508677,Inundações e Chuvas
-0.1516112267690163,0.06821960270832911,Seca e Estiagem
-0.18028677618465608,0.04942590749893719,Seca e Estiagem
-0.1751314536625831,0.04493798020086084,Seca e Estiagem
-0.5136521268743027,-0.21928345269193472,Seca e Estiagem
-0.1789515275761439,0.054179894291814634,Seca e Estiagem
-0.1461017037408781,0.07443348754339292,Inundações e Chuvas
-0.19683287313170564,0.03555974431492765,Seca e Estiagem
5.8882175734367,-0.9199771923526244,Inundações e Chuvas
-0.13208008782191624,0.08660747578029632,Tempestades Severas
-0.1474668926319162,0.07930494895046322,Incêndios Florestais
-0.1474427730454096,0.0792775045375283,Inundações e Chuvas
-0.12563133912121277,0.06414483125636228,Inundações e Chuvas
-0.11857087135949061,0.09628987698474319,Inundações e Chuvas
1.233598915639608,-0.8164450942571412,Inundações e Chuvas
-2.2621516592511655,-1.61879977368858,Seca e Estiagem
-0.13300342585356056,0.08790770464876652,Inundações e Chuvas
0.30717329921435677,-0.16292089007637733,Inundações e Chuvas
0.8342964855737693,2.861859077330992,Inundações e Chuvas
-0.12298779052033658,0.07326338409695847,Inundações e Chuvas
-0.17265671850008094,0.05167778936916435,Seca e Estiagem
