Isomap1,Isomap2,Macro_Desastre
-0.3338834219754516,-0.03731441783317107,Seca e Estiagem
-0.13129031954695622,0.03981309540292048,Tempestades Severas
-0.08700846759023032,-0.09925185270874368,Inundações e Chuvas
0.01863184335239339,0.054817464864807534,Tempestades Severas
-0.12806745739474826,-0.024946688829783785,Seca e Estiagem
-0.18441848197671182,-0.043363571696642,Seca e Estiagem
-0.13396659463424432,0.11781506818235593,Inundações e Chuvas
-0.12073538213217512,-0.034079202391773776,Seca e Estiagem
-0.20029931394635292,-0.04011012098770808,Seca e Estiagem
-0.10630841211724427,-0.015301321296025931,Inundações e Chuvas
-0.13807068613070553,-0.03162494139712795,Seca e Estiagem
-0.004805361914027433,-0.00903004195758574,Inundações e Chuvas
-0.10630841211724427,-0.015301321296025931,Incêndios Florestais
-0.08585656241520058,-0.03863754939416982,Inundações e Chuvas
-0.1108781037639817,-0.024960107669543586,Incêndios Florestais
-0.14841802818686625,-0.05654753325532357,Seca e Estiagem
-0.12459678970542234,-0.02265437663888749,Seca e Estiagem
-0.10908842470418359,-0.01249600811369723,Inundações e Chuvas
-0.32937777243458927,-0.06065085171712993,Seca e Estiagem
2.526902237627277,-0.33649945355324207,Tempestades Severas
2.7816007300457626,0.2875624652531613,Tempestades Severas
