T-SNE1,T-SNE2,Macro_Desastre
16.18335,33.388428,Inundações e Chuvas
-13.930841,-14.120461,Seca e Estiagem
16.18335,33.388428,Inundações e Chuvas
-30.801596,-4.20311,Seca e Estiagem
45.674725,-10.820776,Tempestades Severas
32.378456,-6.6513414,Inundações e Chuvas
36.5816,-28.204365,Tempestades Severas
-49.96838,12.069365,Seca e Estiagem
36.989952,-22.323887,Inundações e Chuvas
10.884239,-2.421063,Inundações e Chuvas
37.322296,7.585659,Tempestades Severas
10.990158,23.28722,Deslizamentos
-32.69886,10.617732,Inundações e Chuvas
-47.730286,3.2934718,Inundações e Chuvas
16.18335,33.388428,Inundações e Chuvas
31.50726,-37.203197,Inundações e Chuvas
16.18335,33.388428,Inundações e Chuvas
-4.956769,-10.616067,Seca e Estiagem
-6.5457406,7.2418704,Seca e Estiagem
-11.660709,-8.3928175,Seca e Estiagem
-17.936028,-35.730087,Seca e Estiagem
-6.489785,5.3427944,Seca e Estiagem
-13.480205,52.940018,Seca e Estiagem
-18.305975,-16.085218,Seca e Estiagem
21.806593,5.494487,Inundações e Chuvas
-33.259727,-31.716967,Seca e Estiagem
16.18335,33.388428,Incêndios Florestais
16.18335,33.388428,Inundações e Chuvas
10.969595,10.372546,Inundações e Chuvas
50.47773,-1.7871971,Tempestades Severas
-3.6751056,-29.23237,Seca e Estiagem
41.724636,-15.033689,Inundações e Chuvas
-13.930876,-14.120459,Seca e Estiagem
-51.307354,10.046968,Seca e Estiagem
43.567272,-9.429512,Inundações e Chuvas
-15.517696,-13.566312,Seca e Estiagem
34.27213,-19.948456,Inundações e Chuvas
16.18335,33.388428,Inundações e Chuvas
48.35065,5.9131026,Tempestades Severas
-21.370962,-14.550658,Seca e Estiagem
16.18335,33.388428,Inundações e Chuvas
-33.213135,10.699925,Inundações e Chuvas
-10.393468,-36.38372,Seca e Estiagem
-27.470358,38.853935,Seca e Estiagem
37.8211,-22.443747,Tempestades Severas
16.18335,33.388428,Incêndios Florestais
-33.576317,32.47207,Seca e Estiagem
42.33489,11.3665905,Inundações e Chuvas
-22.69444,-13.414464,Seca e Estiagem
16.18335,33.388428,Seca e Estiagem
-38.42203,12.227962,Seca e Estiagem
31.279585,8.057103,Inundações e Chuvas
-1.3118361,12.808363,Incêndios Florestais
-30.71654,-3.742034,Seca e Estiagem
16.18335,33.388428,Seca e Estiagem
-33.67473,9.842883,Seca e Estiagem
17.443214,-14.598835,Inundações e Chuvas
13.935009,1.8662995,Inundações e Chuvas
16.18335,33.388428,Incêndios Florestais
-51.32716,9.141585,Seca e Estiagem
-30.195679,-11.513308,Seca e Estiagem
-32.3683,35.10347,Seca e Estiagem
38.28652,-16.262693,Inundações e Chuvas
36.98249,-11.957042,Inundações e Chuvas
-36.538845,14.192694,Seca e Estiagem
-17.790257,-35.013813,Seca e Estiagem
16.18335,33.388428,Incêndios Florestais
16.18335,33.388428,Inundações e Chuvas
-31.614838,1.6780548,Seca e Estiagem
-0.50180686,7.6932964,Seca e Estiagem
-35.95696,-4.1457844,Seca e Estiagem
-43.28077,-4.610746,Seca e Estiagem
-43.238064,13.035559,Seca e Estiagem
-37.896072,5.6629424,Seca e Estiagem
-5.0919843,-17.5756,Seca e Estiagem
-2.2480977,-30.330048,Inundações e Chuvas
20.200275,-3.5895858,Inundações e Chuvas
24.148127,-17.89178,Inundações e Chuvas
11.916613,-27.373182,Inundações e Chuvas
-32.789074,35.111317,Seca e Estiagem
